Lieu	Latitude	Longitude
Lieu1	46.7800	-71.3000
Lieu2	46.7600	-71.3200
Lieu3	46.7850	-71.2900
Lieu4	46.7500	-71.3100
Lieu5	46.7700	-71.3400
Lieu6	46.7950	-71.3050
Lieu7	46.7550	-71.2950
Lieu8	46.7650	-71.3500
Lieu9	46.7800	-71.2800
Lieu10	46.7400	-71.3300
Lieu11	46.7900	-71.3250
Lieu12	46.7600	-71.3600
Lieu13	46.7850	-71.2700
Lieu14	46.7450	-71.3000
Lieu15	46.7750	-71.3450
Lieu16	46.8000	-71.3100
Lieu17	46.7500	-71.2850
Lieu18	46.7700	-71.3550
Lieu19	46.7820	-71.2750
Lieu20	46.7380	-71.3150
Lieu21	46.7920	-71.3300
Lieu22	46.7620	-71.3650
Lieu23	46.7870	-71.2650
Lieu24	46.7470	-71.2950
Lieu25	46.7730	-71.3400
Lieu26	46.7980	-71.3050
Lieu27	46.7520	-71.2900
Lieu28	46.7670	-71.3500
Lieu29	46.7810	-71.2850
Lieu30	46.7420	-71.3250
